M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.9132948;0.026011564;0.034682076;0.02023121;0.0057803476,0.37018007;0.14395893;0.13110544;0.14910004;0.20565556,0.868066;0.05547225;0.041979007;0.025487255;0.0089955,0.9522241;0.01647446;0.01812191;0.009884681;0.003294893,0.934466;0.026699033;0.016990291;0.016990291;0.0048543694,0.0009049774
0.38636357;0.18181819;0.15909092;0.20454548;0.06818183,0.37018004;0.14395893;0.13110542;0.14910004;0.20565554,0.4125;0.225;0.2;0.1375;0.025,0.5555555;0.16666669;0.05555555;0.16666669;0.05555555,0.45;0.25000003;0.099999994;0.14999999;0.049999997,0
0.9132948;0.026011558;0.03468208;0.02023121;0.005780347,0.37018007;0.14395894;0.13110542;0.14910002;0.20565557,0.868066;0.055472247;0.041979007;0.025487259;0.008995501,0.9522241;0.016474461;0.01812191;0.00988468;0.003294893,0.934466;0.026699029;0.01699029;0.01699029;0.0048543685,0.0009049774
0.38636354;0.18181822;0.1590909;0.2045455;0.06818182,0.37018007;0.14395893;0.13110542;0.14910004;0.20565554,0.41250002;0.225;0.2;0.13749999;0.025,0.1428571;0.28571433;0.28571433;0.1428571;0.1428571,0.45;0.24999999;0.10000001;0.15;0.050000004,0.0018099548
0.49090913;0.036363635;0.21818176;0.16363639;0.09090909,0.37018007;0.14395893;0.13110541;0.14910004;0.20565556,0.45882347;0.08235294;0.24705882;0.1411765;0.070588246,0.36363634;0.090909086;0.18181817;0.090909086;0.2727273,0.5;0.0625;0.1875;0.125;0.125,0.0054298643
0.08695652;0.04347826;0.08695652;0.1449275;0.6376812,0.37018007;0.14395894;0.13110542;0.14910004;0.20565554,0.14814813;0.03703704;0.1111111;0.16666673;0.537037,0.125;0.125;0.125;0.25;0.37499997,0.19999999;0.099999994;0.19999999;0.30000004;0.19999999,0.0027149321
0.26923078;0.2115385;0.13461539;0.19230767;0.19230767,0.37018007;0.14395893;0.13110542;0.14910004;0.20565556,0.23611107;0.20833334;0.13888888;0.2638889;0.15277782,0.29411766;0.17647056;0.29411766;0.17647056;0.058823526,0.41176468;0.11764709;0.11764709;0.29411763;0.058823526,0.0009049774
0.38636357;0.1818182;0.1590909;0.2045455;0.068181805,0.37018007;0.14395893;0.13110542;0.14910002;0.20565554,0.4125;0.225;0.20000002;0.1375;0.025000002,0.22222222;0.22222222;0.11111111;0.22222222;0.22222222,0.44999996;0.25;0.10000001;0.15000002;0.050000004,0.0009049774
0.3863635;0.1818182;0.15909092;0.20454553;0.06818182,0.3701801;0.14395893;0.13110541;0.14910004;0.20565556,0.41249996;0.22500001;0.20000003;0.13749999;0.025000004,0.5555556;0.16666667;0.055555552;0.16666667;0.055555552,0.45;0.25;0.1;0.15000002;0.05,0.0009049774
0.38636357;0.18181823;0.15909092;0.20454548;0.06818182,0.37018007;0.14395893;0.13110544;0.14910004;0.20565554,0.4125;0.22500001;0.20000002;0.13749999;0.025000002,0.14285712;0.2857143;0.2857143;0.14285712;0.14285712,0.45;0.25;0.1;0.15000002;0.05,0.0009049774
0.38636357;0.18181822;0.1590909;0.20454551;0.06818182,0.37018007;0.14395893;0.13110542;0.14910004;0.20565556,0.4125;0.22500001;0.2;0.1375;0.025,0.5555555;0.16666667;0.055555556;0.16666667;0.055555556,0.44999996;0.25;0.10000002;0.15000002;0.05000001,0
0.9341239;0.01844532;0.026350461;0.01581028;0.005270092,0.43362835;0.10796461;0.113274306;0.17522122;0.1699115,0.91260505;0.028571429;0.025210079;0.028571429;0.005042017,0.9090909;0.030303033;0.015151519;0.030303033;0.015151519,0.94780225;0.0054945042;0.019230762;0.013736258;0.013736258,0
0.9341239;0.018445319;0.026350461;0.015810277;0.0052700914,0.43362835;0.107964605;0.11327432;0.1752212;0.1699115,0.91260505;0.028571436;0.02521008;0.028571436;0.0050420174,0.9630252;0.011764712;0.013445381;0.010084029;0.0016806722,0.9478022;0.0054945056;0.019230768;0.013736259;0.013736259,0
0.9341239;0.018445319;0.026350461;0.015810277;0.0052700914,0.43362835;0.107964605;0.11327432;0.1752212;0.1699115,0.91260505;0.028571436;0.02521008;0.028571436;0.0050420174,0.9630252;0.011764712;0.013445381;0.010084029;0.0016806722,0.9478022;0.0054945056;0.019230768;0.013736259;0.013736259,0
0.9341239;0.018445319;0.026350461;0.015810277;0.0052700914,0.43362835;0.107964605;0.11327432;0.1752212;0.1699115,0.91260505;0.028571436;0.02521008;0.028571436;0.0050420174,0.9630252;0.011764712;0.013445381;0.010084029;0.0016806722,0.9478022;0.0054945056;0.019230768;0.013736259;0.013736259,0
0.9341239;0.018445319;0.026350461;0.015810277;0.0052700914,0.43362835;0.107964605;0.11327432;0.1752212;0.1699115,0.91260505;0.028571436;0.02521008;0.028571436;0.0050420174,0.9630252;0.011764712;0.013445381;0.010084029;0.0016806722,0.9478022;0.0054945056;0.019230768;0.013736259;0.013736259,0
0.9341239;0.018445319;0.026350461;0.015810277;0.0052700914,0.43362835;0.107964605;0.11327432;0.1752212;0.1699115,0.91260505;0.028571436;0.02521008;0.028571436;0.0050420174,0.9630252;0.011764712;0.013445381;0.010084029;0.0016806722,0.9478022;0.0054945056;0.019230768;0.013736259;0.013736259,0
0.9341239;0.01844532;0.026350461;0.01581028;0.005270092,0.43362835;0.107964605;0.11327431;0.17522122;0.16991149,0.91260505;0.028571436;0.025210079;0.028571436;0.005042017,0.9630252;0.011764711;0.01344538;0.010084029;0.001680672,0.9478022;0.005494505;0.019230768;0.013736259;0.013736259,0
0.9341239;0.018445319;0.026350461;0.015810281;0.0052700914,0.43362835;0.107964605;0.113274306;0.17522122;0.1699115,0.91260505;0.02857144;0.025210084;0.02857144;0.0050420174,0.9630252;0.011764711;0.013445379;0.01008403;0.0016806719,0.9478022;0.0054945056;0.01923077;0.01373626;0.01373626,0
0.8543689;0.055825252;0.046116505;0.036407772;0.007281553,0.37018004;0.14395893;0.13110542;0.14910005;0.20565557,0.868066;0.05547224;0.041979007;0.025487255;0.0089955,0.9522241;0.016474463;0.018121911;0.00988468;0.003294893,0.934466;0.026699034;0.01699029;0.01699029;0.00485437,0.0009049774
0.40350872;0.22807018;0.2105263;0.105263196;0.05263158,0.37018007;0.14395893;0.13110541;0.14910004;0.20565556,0.41250002;0.22500001;0.19999996;0.13750002;0.024999995,0.5555556;0.16666667;0.055555552;0.16666667;0.055555552,0.45000002;0.24999999;0.099999994;0.14999999;0.049999997,0.0036199095
0.23636363;0.1454545;0.18181822;0.30909094;0.12727271,0.37018007;0.14395893;0.13110541;0.14910004;0.20565557,0.2361111;0.2083333;0.13888888;0.2638889;0.1527778,0.29411766;0.17647058;0.29411766;0.17647058;0.058823526,0.41176465;0.11764709;0.11764709;0.29411766;0.058823522,0.0018099548
0.04;0.04;0.08;0.18;0.66,0.38955823;0.1445783;0.1365462;0.14056231;0.188755,0.052631576;0.105263196;0.105263196;0.31578943;0.4210526,0.08333333;0.08333333;0.08333333;0.33333328;0.41666672,0.05882353;0.11764708;0.05882353;0.35294116;0.4117647,0.0069316081
0.040000003;0.040000003;0.080000006;0.17999999;0.66,0.38955823;0.14457828;0.13654616;0.1405623;0.188755,0.052631576;0.105263196;0.105263196;0.3157895;0.42105255,0.083333336;0.083333336;0.083333336;0.33333328;0.4166667,0.05882353;0.11764708;0.05882353;0.35294116;0.4117647,0.0032347505
0.16129032;0.09677419;0.2258064;0.16129032;0.35483876,0.38955823;0.1445783;0.13654618;0.1405623;0.18875502,0.17241377;0.137931;0.2758621;0.20689657;0.20689657,0.066666655;0.066666655;0.4;0.2;0.26666665,0.14999999;0.14999999;0.29999998;0.14999999;0.25000003,0.0036968577
0.16129032;0.0967742;0.22580642;0.16129032;0.35483876,0.38955823;0.1445783;0.13654618;0.14056231;0.18875499,0.17241378;0.137931;0.2758621;0.20689657;0.20689657,0.066666655;0.066666655;0.4;0.2;0.26666665,0.14999999;0.14999999;0.29999998;0.14999999;0.25000003,0.0060073937
0.04;0.04;0.08;0.17999998;0.66,0.38955823;0.14457828;0.13654616;0.1405623;0.188755,0.052631576;0.105263196;0.105263196;0.3157895;0.42105258,0.083333336;0.083333336;0.083333336;0.3333333;0.4166667,0.058823533;0.11764708;0.058823533;0.35294116;0.41176468,0.008780037
0.039999995;0.039999995;0.07999999;0.17999999;0.66,0.38955823;0.14457828;0.13654618;0.14056231;0.188755,0.052631576;0.105263196;0.105263196;0.3157895;0.42105255,0.083333336;0.083333336;0.083333336;0.33333328;0.41666672,0.05882353;0.117647074;0.05882353;0.3529412;0.41176468,0.0027726433
0.16129033;0.0967742;0.22580642;0.16129033;0.35483873,0.38955823;0.1445783;0.13654618;0.14056231;0.188755,0.17241377;0.137931;0.27586207;0.20689657;0.20689657,0.06666666;0.06666666;0.4;0.2;0.26666668,0.14999999;0.14999999;0.29999998;0.14999999;0.25000003,0.0013863216
0.23809522;0.19047622;0.23809522;0.2142857;0.11904761,0.38955823;0.14457828;0.13654618;0.1405623;0.188755,0.24137929;0.10344829;0.27586207;0.27586207;0.10344829,0.31578946;0.10526319;0.15789472;0.31578946;0.10526319,0.076923065;0.15384619;0.23076919;0.3846154;0.15384619,0.0013863216
0.23809524;0.19047622;0.23809524;0.2142857;0.11904762,0.38955826;0.14457828;0.13654616;0.1405623;0.188755,0.24137929;0.10344828;0.27586207;0.27586207;0.10344828,0.31578946;0.10526318;0.15789472;0.31578946;0.10526318,0.076923065;0.15384619;0.23076917;0.38461536;0.15384619,0.0009242144
0.2857143;0.1785714;0.25;0.1785714;0.10714292,0.3895582;0.1445783;0.1365462;0.1405623;0.18875499,0.27272728;0.36363643;0.0909091;0.24242415;0.030303027,0.47058824;0.17647058;0.117647104;0.17647058;0.05882353,0.20000002;0.20000002;0.13333328;0.40000004;0.06666667,0.0013863216
0.23809524;0.19047621;0.23809524;0.21428572;0.11904762,0.3895582;0.14457831;0.1365462;0.14056231;0.18875499,0.24137929;0.103448294;0.27586207;0.27586207;0.103448294,0.31578946;0.10526319;0.15789469;0.31578946;0.10526319,0.07692309;0.15384619;0.23076914;0.38461542;0.15384619,0.002310536
0.23809522;0.19047621;0.23809522;0.2142857;0.11904761,0.38955823;0.1445783;0.1365462;0.1405623;0.188755,0.24137929;0.10344829;0.27586207;0.27586207;0.10344829,0.31578946;0.10526319;0.15789469;0.31578946;0.10526319,0.07692308;0.15384619;0.23076914;0.3846154;0.15384619,0.0064695009
0.04;0.04;0.08;0.18;0.66,0.3895582;0.1445783;0.13654618;0.14056231;0.188755,0.052631572;0.1052632;0.1052632;0.3157895;0.42105255,0.083333336;0.083333336;0.083333336;0.33333328;0.4166667,0.05882353;0.11764708;0.05882353;0.35294116;0.4117647,0.0055452865
0.08045977;0.04597701;0.06896552;0.16091952;0.6436782,0.442953;0.117449686;0.114094004;0.147651;0.1778523,0.15;0.15;0.15;0.3;0.24999997,0.1;0.2;0.2;0.2;0.29999998,0.099999994;0.19999999;0.19999999;0.19999999;0.3,0.0009242144
0.39705878;0.29411772;0.14705881;0.14705881;0.014705881,0.442953;0.1174497;0.114094004;0.147651;0.17785232,0.2631579;0.3157894;0.105263196;0.2631579;0.052631576,0.24999999;0.12499999;0.12499999;0.37500003;0.12499999,0.2;0.29999998;0.1;0.29999998;0.1,0.0046210721
0.21311478;0.098360635;0.21311478;0.262295;0.21311478,0.442953;0.117449686;0.114094004;0.147651;0.1778523,0.2916667;0.08333334;0.12499999;0.2916667;0.2083333,0.4545454;0.18181819;0.09090909;0.09090909;0.18181819,0.2222222;0.2222222;0.1111111;0.1111111;0.3333334,0
0.8646209;0.059566796;0.043321304;0.025270762;0.007220217,0.44295296;0.1174497;0.114094004;0.147651;0.17785232,0.83916086;0.041958038;0.062937066;0.03496503;0.020979019,0.8888889;0.018518519;0.055555556;0.018518519;0.018518519,0.77777773;0.074074075;0.074074075;0.037037045;0.037037045,0.0013863216
0.45454547;0.12121208;0.2575758;0.106060594;0.060606048,0.37018004;0.14395893;0.13110542;0.14910004;0.20565557,0.4137931;0.1034483;0.2413793;0.137931;0.1034483,0.45833334;0.083333336;0.20833328;0.1666667;0.083333336,0.090909086;0.18181817;0.27272728;0.27272728;0.18181817,0.0009242144
0.40350878;0.22807017;0.2105263;0.10526318;0.052631576,0.37018007;0.14395896;0.13110544;0.14910002;0.20565553,0.3636364;0.13636358;0.13636358;0.1818182;0.1818182,0.5555555;0.16666669;0.055555552;0.16666669;0.055555552,0.23076919;0.15384622;0.07692309;0.30769232;0.23076919,0.0009242144
0.40350878;0.22807018;0.21052627;0.105263196;0.05263157,0.37018007;0.14395891;0.13110541;0.14910004;0.20565554,0.3636364;0.1363636;0.1363636;0.1818182;0.1818182,0.22222222;0.22222222;0.11111111;0.22222222;0.22222222,0.23076922;0.15384622;0.076923095;0.30769226;0.23076922,0.0078558226
0.1388889;0.055555563;0.055555563;0.24999999;0.49999997,0.37018007;0.14395893;0.13110542;0.14910004;0.20565554,0.09523808;0.071428575;0.04761904;0.23809525;0.54761904,0.12500001;0.12500001;0.12500001;0.25000003;0.37499994,0.07142857;0.107142895;0.03571429;0.25;0.53571427,0.0069316081
0.13888891;0.055555563;0.055555563;0.24999999;0.49999997,0.37018007;0.14395893;0.13110541;0.14910004;0.20565554,0.09523808;0.071428575;0.04761904;0.23809524;0.54761904,0.12500001;0.12500001;0.12500001;0.25000003;0.37499997,0.071428575;0.10714289;0.03571429;0.25;0.53571427,0.0046210721
0.2363636;0.14545451;0.18181822;0.30909097;0.12727271,0.3701801;0.14395893;0.13110542;0.14910004;0.20565554,0.18181817;0.12121211;0.18181817;0.24242422;0.2727273,0.29411766;0.17647058;0.29411766;0.17647058;0.058823526,0.05263159;0.21052632;0.21052632;0.15789472;0.36842105,0.0036968577
0.23636362;0.14545453;0.18181823;0.30909094;0.12727271,0.37018007;0.14395893;0.13110541;0.14910004;0.20565556,0.18181819;0.12121211;0.18181819;0.24242422;0.27272728,0.29411766;0.1764706;0.29411766;0.1764706;0.058823526,0.05263159;0.21052633;0.21052633;0.15789472;0.36842102,0.0013863216
0.45454544;0.1212121;0.2575758;0.106060594;0.060606062,0.3701801;0.14395893;0.13110541;0.14910002;0.20565554,0.41379306;0.1034483;0.24137932;0.13793102;0.1034483,0.45833334;0.08333334;0.2083333;0.1666667;0.08333334,0.09090909;0.18181819;0.27272725;0.27272725;0.18181819,0.0018484288
0.4545454;0.121212095;0.25757584;0.10606059;0.06060606,0.37018007;0.14395894;0.13110542;0.14910002;0.20565554,0.4137931;0.1034483;0.24137932;0.13793099;0.1034483,0.4583333;0.083333336;0.2083333;0.1666667;0.083333336,0.09090908;0.18181817;0.27272728;0.27272728;0.18181817,0.0032347505
0.26923075;0.21153848;0.13461538;0.1923077;0.1923077,0.37018007;0.14395894;0.13110544;0.14910002;0.20565554,0.18181819;0.1212121;0.18181819;0.2424242;0.2727273,0.35714287;0.071428575;0.21428573;0.14285712;0.21428573,0.052631587;0.21052632;0.21052632;0.15789472;0.36842108,0.0032347505
0.2692308;0.21153848;0.1346154;0.19230765;0.19230765,0.3701801;0.14395891;0.13110542;0.14910004;0.20565554,0.18181822;0.12121209;0.18181822;0.24242418;0.2727273,0.35714293;0.071428575;0.2142857;0.1428571;0.2142857,0.052631587;0.21052635;0.21052635;0.15789473;0.368421,0.0013863216
0.49090913;0.03636364;0.21818174;0.1636364;0.09090909,0.3701801;0.14395893;0.13110542;0.14910002;0.20565554,0.4137931;0.1034483;0.2413793;0.137931;0.1034483,0.4583333;0.08333334;0.20833328;0.16666672;0.08333334,0.090909086;0.18181817;0.27272728;0.27272728;0.18181817,0.0018484288
0.4909091;0.036363643;0.21818176;0.1636364;0.0909091,0.3701801;0.14395891;0.13110542;0.14910002;0.20565554,0.4137931;0.1034483;0.24137929;0.137931;0.1034483,0.45833328;0.08333334;0.20833328;0.16666672;0.08333334,0.090909086;0.18181817;0.27272728;0.27272728;0.18181817,0.0050831793
0.1029412;0.11764709;0.27941176;0.33823526;0.1617647,0.43362832;0.107964605;0.113274306;0.17522125;0.16991152,0.113636374;0.15909089;0.20454547;0.3409091;0.18181817,0.20833331;0.08333334;0.25;0.20833331;0.25,0.07692308;0.19230767;0.15384619;0.3076923;0.26923078,0.0009242144
0.3018868;0.37735853;0.1509434;0.1509434;0.018867921,0.43362835;0.107964605;0.113274306;0.17522123;0.1699115,0.44827586;0.24137935;0.137931;0.137931;0.034482766,0.5384615;0.076923065;0.15384616;0.15384616;0.076923065,0.24999999;0.24999999;0.08333335;0.33333334;0.08333335,0.0027726433
0.10294121;0.1176471;0.27941176;0.33823526;0.1617647,0.43362835;0.107964605;0.113274306;0.17522123;0.1699115,0.113636374;0.15909088;0.20454548;0.34090906;0.1818182,0.16666669;0.16666669;0.16666669;0.33333328;0.16666669,0.07692308;0.19230768;0.1538462;0.3076923;0.26923078,0.0027726433
0.1029412;0.1176471;0.27941176;0.33823526;0.16176468,0.43362832;0.107964605;0.1132743;0.17522123;0.16991152,0.113636374;0.15909089;0.20454547;0.3409091;0.18181817,0.20833331;0.08333334;0.25;0.20833331;0.25,0.07692308;0.19230767;0.1538462;0.3076923;0.26923075,0.0013863216
0.4;0.13333328;0.16666672;0.14999999;0.14999999,0.43362832;0.107964605;0.11327431;0.17522123;0.1699115,0.3548387;0.0967742;0.1290323;0.22580642;0.1935484,0.47368413;0.105263196;0.21052627;0.105263196;0.105263196,0.1;0.1;0.29999998;0.29999998;0.2,0.0018484288
0.4;0.13333328;0.16666672;0.14999999;0.14999999,0.43362835;0.10796461;0.113274306;0.17522123;0.1699115,0.35483867;0.09677419;0.12903231;0.2258064;0.19354843,0.14285713;0.14285713;0.14285713;0.42857146;0.14285713,0.1;0.1;0.3;0.3;0.2,0.0032347505
0.1029412;0.11764708;0.27941176;0.33823526;0.16176468,0.43362835;0.10796461;0.1132743;0.17522122;0.1699115,0.113636374;0.15909088;0.20454547;0.3409091;0.18181819,0.2083333;0.083333336;0.25000003;0.2083333;0.25000003,0.07692307;0.19230768;0.15384619;0.3076923;0.26923078,0.002310536
0.4;0.13333328;0.16666673;0.15;0.15,0.43362835;0.107964605;0.1132743;0.1752212;0.16991152,0.35483867;0.0967742;0.12903231;0.2258064;0.19354843,0.47368416;0.105263196;0.21052627;0.105263196;0.105263196,0.1;0.1;0.3;0.3;0.2,0.0013863216
0.39999998;0.13333328;0.16666673;0.15;0.15,0.43362835;0.107964605;0.113274306;0.17522122;0.16991152,0.35483867;0.0967742;0.1290323;0.2258064;0.19354843,0.47368416;0.105263196;0.21052626;0.105263196;0.105263196,0.099999994;0.099999994;0.3;0.3;0.19999999,0.0060073937
0.090909086;0.04545455;0.22727272;0.22727272;0.40909094,0.442953;0.11744969;0.114094;0.14765102;0.1778523,0.15;0.15;0.15;0.3;0.25,0.1;0.2;0.2;0.2;0.29999998,0.099999994;0.19999999;0.19999999;0.19999999;0.3,0.0018484288
0.29729733;0.1621622;0.21621618;0.24324319;0.081081085,0.442953;0.11744969;0.114094004;0.147651;0.1778523,0.3181818;0.1363636;0.1818182;0.090909086;0.2727273,0.41666666;0.083333336;0.16666667;0.16666667;0.16666667,0.14285712;0.14285712;0.14285712;0.28571433;0.28571433,0.0041589649
0.09302328;0.16279072;0.18604651;0.37209302;0.18604651,0.442953;0.11744969;0.114094;0.147651;0.1778523,0.2916667;0.08333335;0.125;0.2916667;0.2083333,0.4545454;0.18181819;0.09090909;0.09090909;0.18181819,0.22222221;0.22222221;0.111111104;0.111111104;0.33333337,0.0064695009
0.09090909;0.04545455;0.22727272;0.22727272;0.4090909,0.44295302;0.11744969;0.114094;0.147651;0.1778523,0.15;0.15;0.15;0.3;0.25,0.1;0.2;0.2;0.2;0.29999998,0.1;0.2;0.2;0.2;0.29999998,0.0101663586
0.15;0.049999997;0.11666669;0.18333331;0.5,0.43362835;0.10796461;0.1132743;0.1752212;0.16991152,0.2040816;0.061224494;0.1020408;0.12244901;0.5102041,0.1428571;0.047619056;0.1428571;0.1428571;0.5238096,0.16666667;0.066666655;0.066666655;0.16666667;0.53333336,0.011090573
0.15;0.049999997;0.11666669;0.18333331;0.5,0.43362835;0.10796461;0.113274306;0.1752212;0.1699115,0.20408161;0.061224494;0.102040805;0.122449;0.5102041,0.1428571;0.047619056;0.1428571;0.1428571;0.5238096,0.16666667;0.06666666;0.06666666;0.16666667;0.53333336,0.0129390018
0.15;0.049999997;0.11666669;0.18333331;0.5,0.43362835;0.10796461;0.113274306;0.1752212;0.1699115,0.20408161;0.061224494;0.102040805;0.122449;0.5102041,0.1428571;0.047619056;0.1428571;0.1428571;0.5238096,0.16666667;0.06666666;0.06666666;0.16666667;0.53333336,0.0157116451
0.15;0.05;0.11666669;0.18333331;0.5,0.43362835;0.10796461;0.1132743;0.1752212;0.16991152,0.20408161;0.06122449;0.102040805;0.122448996;0.5102041,0.1428571;0.047619056;0.1428571;0.1428571;0.5238097,0.16666667;0.06666666;0.06666666;0.16666667;0.53333336,0.011090573
0.15;0.049999997;0.11666669;0.18333328;0.5,0.43362835;0.10796461;0.113274306;0.17522122;0.16991152,0.20408161;0.06122449;0.102040805;0.122449;0.5102041,0.14285709;0.04761906;0.14285709;0.14285709;0.5238097,0.16666667;0.06666666;0.06666666;0.16666667;0.53333336,0
0.8715847;0.03825137;0.035519127;0.040983606;0.013661196,0.43362835;0.10796461;0.11327431;0.17522122;0.16991152,0.83935744;0.048192773;0.048192773;0.036144577;0.028112443,0.9630252;0.011764709;0.013445377;0.010084028;0.0016806719,0.7959184;0.02040816;0.02040816;0.102040805;0.061224494,0.0041589649
0.17741932;0.14516132;0.14516132;0.38709676;0.14516132,0.43362835;0.10796461;0.11327431;0.17522122;0.1699115,0.11363638;0.1590909;0.20454548;0.34090903;0.18181819,0.20833331;0.083333336;0.25;0.20833331;0.25,0.07692307;0.19230765;0.15384617;0.3076923;0.26923078,0.0045085663
0.1774193;0.14516132;0.14516132;0.38709676;0.14516132,0.43362832;0.10796461;0.11327431;0.17522123;0.16991152,0.11363639;0.1590909;0.20454547;0.34090903;0.1818182,0.20833331;0.08333333;0.25000003;0.20833331;0.25000003,0.07692308;0.19230765;0.15384619;0.30769232;0.26923078,0.0027051398
0.1774193;0.14516132;0.14516132;0.38709676;0.14516132,0.43362835;0.10796461;0.11327431;0.17522123;0.1699115,0.11363638;0.1590909;0.20454547;0.34090906;0.18181819,0.20833331;0.083333336;0.25;0.20833331;0.25,0.07692308;0.19230765;0.15384619;0.30769232;0.26923075,0.0085662759
0.1395349;0.023255812;0.09302326;0.2325581;0.5116279,0.43362835;0.10796461;0.113274306;0.17522122;0.16991152,0.20408161;0.06122449;0.102040805;0.122449;0.5102041,0.14285709;0.047619052;0.14285709;0.14285709;0.5238097,0.1666667;0.06666666;0.06666666;0.1666667;0.5333333,0.0018034265
0.39393938;0.07575756;0.22727267;0.15151519;0.15151519,0.442953;0.1174497;0.114094004;0.147651;0.17785232,0.31818178;0.1363636;0.1818182;0.09090908;0.2727273,0.41666657;0.08333334;0.16666669;0.16666669;0.16666669,0.14285712;0.14285712;0.14285712;0.28571433;0.28571433,0.0054102795
0.08045977;0.045977008;0.068965524;0.16091949;0.6436782,0.44295296;0.11744969;0.114094004;0.14765102;0.17785232,0.15;0.15;0.15;0.3;0.24999997,0.1;0.2;0.2;0.2;0.29999998,0.1;0.2;0.2;0.2;0.29999998,0.0058611362
0.08045977;0.04597701;0.068965524;0.16091949;0.6436782,0.442953;0.1174497;0.114094004;0.14765102;0.17785232,0.15;0.15;0.15;0.3;0.24999999,0.1;0.2;0.2;0.2;0.3,0.1;0.2;0.2;0.2;0.29999998,0.0027051398
0.21311478;0.09836063;0.21311478;0.262295;0.21311478,0.442953;0.1174497;0.114094004;0.14765102;0.17785232,0.29166666;0.083333336;0.125;0.29166666;0.20833334,0.45454544;0.18181819;0.09090909;0.09090909;0.18181819,0.22222222;0.22222222;0.11111111;0.11111111;0.3333333,0.0009017133
0.28571427;0.17857142;0.24999999;0.17857142;0.107142895,0.38955823;0.14457828;0.13654618;0.1405623;0.18875502,0.27272734;0.3636364;0.090909086;0.24242415;0.03030303,0.4705882;0.17647058;0.117647104;0.17647058;0.058823526,0.2;0.2;0.13333331;0.4;0.06666666,0.003606853
0.16129033;0.0967742;0.2258064;0.16129033;0.35483876,0.38955823;0.14457828;0.13654616;0.1405623;0.188755,0.17241377;0.137931;0.27586207;0.20689657;0.20689657,0.06666666;0.06666666;0.39999998;0.19999999;0.26666668,0.14999999;0.14999999;0.29999998;0.14999999;0.25000003,0.0013525699
0.23809522;0.19047622;0.23809522;0.2142857;0.11904761,0.38955826;0.14457828;0.13654616;0.1405623;0.188755,0.24137928;0.10344828;0.27586207;0.27586207;0.10344828,0.31578946;0.10526318;0.1578947;0.31578946;0.10526318,0.076923065;0.15384619;0.23076919;0.3846154;0.15384619,0.0045085663
0.16129033;0.0967742;0.2258064;0.16129033;0.35483876,0.38955823;0.14457828;0.13654616;0.1405623;0.188755,0.17241377;0.137931;0.27586207;0.20689657;0.20689657,0.06666666;0.06666666;0.39999998;0.19999999;0.26666668,0.14999999;0.14999999;0.29999998;0.14999999;0.25000003,0.0013525699
0.23809522;0.19047622;0.23809522;0.2142857;0.11904761,0.38955826;0.14457828;0.13654616;0.1405623;0.188755,0.24137928;0.10344828;0.27586207;0.27586207;0.10344828,0.31578946;0.10526318;0.1578947;0.31578946;0.10526318,0.076923065;0.15384619;0.23076919;0.3846154;0.15384619,0.0031559964
0.16129033;0.09677421;0.22580642;0.16129033;0.35483873,0.3895582;0.1445783;0.1365462;0.1405623;0.18875499,0.17241377;0.137931;0.2758621;0.20689657;0.20689657,0.066666655;0.066666655;0.4;0.2;0.2666667,0.15;0.15;0.3;0.15;0.24999999,0.0013525699
0.23809524;0.19047621;0.23809524;0.21428572;0.11904762,0.38955823;0.1445783;0.1365462;0.14056231;0.18875499,0.24137929;0.103448294;0.27586207;0.27586207;0.103448294,0.31578946;0.10526319;0.15789469;0.31578946;0.10526319,0.07692307;0.15384617;0.23076913;0.38461542;0.15384617,0.0040577096
0.16129033;0.09677421;0.22580642;0.16129033;0.35483873,0.3895582;0.1445783;0.1365462;0.1405623;0.18875499,0.17241377;0.137931;0.2758621;0.20689657;0.20689657,0.066666655;0.066666655;0.4;0.2;0.2666667,0.15;0.15;0.3;0.15;0.24999999,0.0013525699
0.23809522;0.19047621;0.23809522;0.21428572;0.11904761,0.3895582;0.1445783;0.1365462;0.1405623;0.18875499,0.24137929;0.1034483;0.27586204;0.27586204;0.1034483,0.31578946;0.105263196;0.1578947;0.31578946;0.105263196,0.07692308;0.15384617;0.23076914;0.38461542;0.15384617,0.0049594229
0.16129032;0.096774206;0.22580642;0.16129032;0.35483873,0.38955823;0.14457828;0.13654618;0.1405623;0.18875499,0.17241378;0.13793099;0.27586207;0.20689657;0.20689657,0.066666655;0.066666655;0.4;0.2;0.2666667,0.15;0.15;0.3;0.15;0.24999999,0.0063119928
0.039999995;0.039999995;0.07999999;0.18;0.66,0.38955823;0.14457828;0.13654618;0.1405623;0.18875499,0.052631572;0.105263196;0.105263196;0.3157895;0.42105252,0.083333336;0.083333336;0.083333336;0.33333328;0.41666672,0.058823522;0.11764709;0.058823522;0.3529412;0.41176468,0.0040577096
0.16129032;0.096774206;0.22580642;0.16129032;0.35483873,0.38955823;0.1445783;0.1365462;0.14056231;0.18875499,0.17241377;0.13793099;0.27586207;0.20689659;0.20689659,0.066666655;0.066666655;0.4;0.2;0.2666667,0.15;0.15;0.3;0.15;0.24999999,0.0058611362
