@relation 'mdl_data_EP3-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-F-B4-M-1.0-R2,3,4,5,6,7,9,11,12,13,21,22,23,31,32,33,40'

@attribute Month_m0 numeric
@attribute Dist_to_Stream {'\'(-inf-288.6895]\'','\'(288.6895-589.1185]\'','\'(589.1185-1464.6]\'','\'(1464.6-inf)\''}
@attribute Dist_to_Border {'\'(-inf-3702.355]\'','\'(3702.355-7828.425]\'','\'(7828.425-12446.55]\'','\'(12446.55-inf)\''}
@attribute Slope {'\'(-inf-8.788181]\'','\'(8.788181-13.584297]\'','\'(13.584297-16.969554]\'','\'(16.969554-inf)\''}
@attribute strm_density {'\'(-inf-0.227642]\'','\'(0.227642-0.283908]\'','\'(0.283908-0.387563]\'','\'(0.387563-inf)\''}
@attribute Rainfall_m0 {'\'(-inf-9.814899]\'','\'(9.814899-56.682983]\'','\'(56.682983-143.99384]\'','\'(143.99384-inf)\''}
@attribute NDVI_m0 {'\'(-inf-0.633338]\'','\'(0.633338-0.729992]\'','\'(0.729992-0.80645]\'','\'(0.80645-inf)\''}
@attribute Malaria_m0 numeric
@attribute LST_m0 {'\'(-inf-25.275]\'','\'(25.275-27.725]\'','\'(27.725-30.92]\'','\'(30.92-inf)\''}
@attribute Month_m1 numeric
@attribute Rainfall_m1 {'\'(-inf-15.440752]\'','\'(15.440752-58.318828]\'','\'(58.318828-144.600856]\'','\'(144.600856-inf)\''}
@attribute NDVI_m1 {'\'(-inf-0.6352]\'','\'(0.6352-0.73355]\'','\'(0.73355-0.813475]\'','\'(0.813475-inf)\''}
@attribute LST_m1 {'\'(-inf-25.275]\'','\'(25.275-27.6]\'','\'(27.6-30.92]\'','\'(30.92-inf)\''}
@attribute M_Slope_Rainfall_m1 numeric
@attribute M_Dist_to_Border_m1 numeric
@attribute M_NDVI_m1 numeric
@attribute M_Dist_to_Stream_m1 numeric
@attribute M_Stream_Density_m1 numeric
@attribute Malaria_m1 numeric
@attribute Month_m2 numeric
@attribute Rainfall_m2 {'\'(-inf-21.088107]\'','\'(21.088107-58.318828]\'','\'(58.318828-144.600856]\'','\'(144.600856-inf)\''}
@attribute NDVI_m2 {'\'(-inf-0.645133]\'','\'(0.645133-0.743]\'','\'(0.743-0.81975]\'','\'(0.81975-inf)\''}
@attribute LST_m2 {'\'(-inf-25.255]\'','\'(25.255-27.36]\'','\'(27.36-30.67]\'','\'(30.67-inf)\''}
@attribute M_Slope_Rainfall_m2 numeric
@attribute M_Dist_to_Border_m2 numeric
@attribute M_NDVI_m2 numeric
@attribute M_Dist_to_Stream_m2 numeric
@attribute M_Stream_Density_m2 numeric
@attribute Malaria_m2 numeric
@attribute Month_m3 numeric
@attribute Rainfall_m3 {'\'(-inf-11.263663]\'','\'(11.263663-56.682983]\'','\'(56.682983-144.600856]\'','\'(144.600856-inf)\''}
@attribute NDVI_m3 {'\'(-inf-0.65765]\'','\'(0.65765-0.7517]\'','\'(0.7517-0.82325]\'','\'(0.82325-inf)\''}
@attribute LST_m3 {'\'(-inf-24.78]\'','\'(24.78-27]\'','\'(27-29.88]\'','\'(29.88-inf)\''}
@attribute M_Slope_Rainfall_m3 numeric
@attribute M_Dist_to_Border_m3 numeric
@attribute M_NDVI_m3 numeric
@attribute M_Dist_to_Stream_m3 numeric
@attribute M_Stream_Density_m3 numeric
@attribute Malaria_m3 numeric
@attribute Rainfall_mm1 {'\'(-inf-2.984976]\'','\'(2.984976-51.061486]\'','\'(51.061486-130.079548]\'','\'(130.079548-inf)\''}

@data
11,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(9.814899-56.682983]\'','\'(0.633338-0.729992]\'',51,'\'(27.725-30.92]\'',12,'\'(-inf-15.440752]\'','\'(-inf-0.6352]\'','\'(25.275-27.6]\'',90,90,90,90,90,90,1,'\'(-inf-21.088107]\'','\'(-inf-0.645133]\'','\'(25.255-27.36]\'',31,31,31,31,31,31,2,'\'(-inf-11.263663]\'','\'(-inf-0.65765]\'','\'(29.88-inf)\'',8,8,8,8,8,8,'\'(51.061486-130.079548]\''
12,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(-inf-9.814899]\'','\'(-inf-0.633338]\'',90,'\'(25.275-27.725]\'',1,'\'(-inf-15.440752]\'','\'(-inf-0.6352]\'','\'(25.275-27.6]\'',31,31,31,31,31,31,2,'\'(-inf-21.088107]\'','\'(-inf-0.645133]\'','\'(27.36-30.67]\'',8,8,8,8,8,8,3,'\'(-inf-11.263663]\'','\'(-inf-0.65765]\'','\'(29.88-inf)\'',16,16,16,16,16,16,'\'(2.984976-51.061486]\''
1,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(-inf-9.814899]\'','\'(-inf-0.633338]\'',31,'\'(25.275-27.725]\'',2,'\'(-inf-15.440752]\'','\'(-inf-0.6352]\'','\'(27.6-30.92]\'',8,8,8,8,8,8,3,'\'(-inf-21.088107]\'','\'(-inf-0.645133]\'','\'(30.67-inf)\'',16,16,16,16,16,16,4,'\'(11.263663-56.682983]\'','\'(-inf-0.65765]\'','\'(29.88-inf)\'',23,23,23,23,23,23,'\'(-inf-2.984976]\''
2,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(-inf-9.814899]\'','\'(-inf-0.633338]\'',8,'\'(27.725-30.92]\'',3,'\'(-inf-15.440752]\'','\'(-inf-0.6352]\'','\'(30.92-inf)\'',16,16,16,16,16,16,4,'\'(-inf-21.088107]\'','\'(-inf-0.645133]\'','\'(30.67-inf)\'',23,23,23,23,23,23,5,'\'(56.682983-144.600856]\'','\'(-inf-0.65765]\'','\'(29.88-inf)\'',31,31,31,31,31,31,'\'(2.984976-51.061486]\''
3,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(9.814899-56.682983]\'','\'(-inf-0.633338]\'',16,'\'(30.92-inf)\'',4,'\'(-inf-15.440752]\'','\'(-inf-0.6352]\'','\'(30.92-inf)\'',23,23,23,23,23,23,5,'\'(58.318828-144.600856]\'','\'(-inf-0.645133]\'','\'(30.67-inf)\'',31,31,31,31,31,31,6,'\'(56.682983-144.600856]\'','\'(0.7517-0.82325]\'','\'(27-29.88]\'',44,44,44,44,44,44,'\'(-inf-2.984976]\''
4,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(9.814899-56.682983]\'','\'(-inf-0.633338]\'',23,'\'(30.92-inf)\'',5,'\'(58.318828-144.600856]\'','\'(-inf-0.6352]\'','\'(30.92-inf)\'',31,31,31,31,31,31,6,'\'(58.318828-144.600856]\'','\'(0.743-0.81975]\'','\'(25.255-27.36]\'',44,44,44,44,44,44,7,'\'(56.682983-144.600856]\'','\'(0.7517-0.82325]\'','\'(-inf-24.78]\'',27,27,27,27,27,27,'\'(2.984976-51.061486]\''
5,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(56.682983-143.99384]\'','\'(-inf-0.633338]\'',31,'\'(30.92-inf)\'',6,'\'(58.318828-144.600856]\'','\'(0.73355-0.813475]\'','\'(25.275-27.6]\'',44,44,44,44,44,44,7,'\'(58.318828-144.600856]\'','\'(0.743-0.81975]\'','\'(-inf-25.255]\'',27,27,27,27,27,27,8,'\'(144.600856-inf)\'','\'(0.65765-0.7517]\'','\'(-inf-24.78]\'',14,14,14,14,14,14,'\'(2.984976-51.061486]\''
6,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(56.682983-143.99384]\'','\'(0.729992-0.80645]\'',44,'\'(25.275-27.725]\'',7,'\'(58.318828-144.600856]\'','\'(0.73355-0.813475]\'','\'(-inf-25.275]\'',27,27,27,27,27,27,8,'\'(144.600856-inf)\'','\'(0.645133-0.743]\'','\'(-inf-25.255]\'',14,14,14,14,14,14,9,'\'(144.600856-inf)\'','\'(0.65765-0.7517]\'','\'(24.78-27]\'',9,9,9,9,9,9,'\'(51.061486-130.079548]\''
7,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(56.682983-143.99384]\'','\'(0.729992-0.80645]\'',27,'\'(-inf-25.275]\'',8,'\'(144.600856-inf)\'','\'(0.6352-0.73355]\'','\'(-inf-25.275]\'',14,14,14,14,14,14,9,'\'(144.600856-inf)\'','\'(0.645133-0.743]\'','\'(-inf-25.255]\'',9,9,9,9,9,9,10,'\'(11.263663-56.682983]\'','\'(0.65765-0.7517]\'','\'(27-29.88]\'',9,9,9,9,9,9,'\'(130.079548-inf)\''
8,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(143.99384-inf)\'','\'(0.633338-0.729992]\'',14,'\'(-inf-25.275]\'',9,'\'(144.600856-inf)\'','\'(0.6352-0.73355]\'','\'(-inf-25.275]\'',9,9,9,9,9,9,10,'\'(21.088107-58.318828]\'','\'(0.645133-0.743]\'','\'(27.36-30.67]\'',9,9,9,9,9,9,11,'\'(11.263663-56.682983]\'','\'(0.65765-0.7517]\'','\'(27-29.88]\'',43,43,43,43,43,43,'\'(130.079548-inf)\''
