M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.39705878,0.17785232,0.03,0.1320755,0.124999985,0.0019230769
0.15151522,0.44295296,0.31914887,0.21153845,0.20000002,0
0.025270762,0.17785232,0.024604568,0.74594593,0.055555556,0
0.02527076,0.17785232,0.012302291,0.124324314,0.027777778,0.0009615385
0.14705883,0.114094,0.029999997,0.16981132,0.22916669,0.0038461538
0.21311477,0.17785232,0.31632653,0.1780822,0.3,0.0067307692
0.6436782,0.147651,0.03896104,0.42592594,0.078125,0.0038461538
0.1,0.14395893,0.20833327,0.1875,0.14705883,0.0028846154
0.2,0.14910002,0.20833327,0.1875,0.14705883,0.0105769231
0.111111104,0.13110542,0.037037037,0.3571429,0.090909086,0.0105769231
0.21311478,0.11409399,0.1530612,0.1428571,0.13698629,0
0.02527076,0.14765102,0.02460457,0.77477473,0.8232446,0.001601281
0.1515152,0.17785233,0.11702128,0.09803921,0.1129032,0
0.8646209,0.114094004,0.024604568,0.02702703,0.031477,0
0.025906736,0.14056231,0.01430429,0.02710843,0.01717557,0.003202562
0.18461537,0.1365462,0.17307693,0.1034483,0.4086021,0.001601281
0.045454558,0.14457828,0.29090908,0.22222221,0.23376621,0.0024019215
0.2424242,0.18875502,0.15454549,0.27499998,0.18181819,0
0.02702703,0.442953,0.047451675,0.7747748,0.08232445,0.0064051241
0.09375001,0.442953,0.090909086,0.058823526,0.13043478,0.0080064051
0.09375,0.114094004,0.03896104,0.09803921,0.02898551,0.0008006405
0.19354838,0.147651,0.14000002,0.39534882,0.1666667,0.001601281
0.24000001,0.11744969,0.1170213,0.1372549,0.3064516,0.0112089672
0.15384619,0.17522122,0.38461536,0.09615385,0.026315784,0.0160128102
0.11538461,0.1699115,0.1346154,0.22222222,0.10526317,0.0168134508
0.038461536,0.10796461,0.32692313,0.6153845,0.28947368,0.0096076861
0.115384616,0.11327433,0.1346154,0.055555545,0.44736832,0.0048038431
0.23636362,0.14910004,0.2361111,0.21951222,0.17307688,0.0112089672
0.25,0.13110542,0.16666669,0.18518518,0.08333335,0.0160128102
0.25,0.14395894,0.03703705,0.6666666,0.125,0.0064051241
0.055555556,0.37018007,0.14814809,0.1851852,0.04166667,0.0024019215
0.10606061,0.14910002,0.07058824,0.3095238,0.07246379,0.0176140913
0.5,0.13110544,0.16666669,0.03703704,0.12499999,0.0048038431
0.14545451,0.14395894,0.2638889,0.17073168,0.07692307,0.0072057646
0.055555556,0.14910004,0.537037,0.055555556,0.5625,0.0064051241
0.5,0.3701801,0.5370371,0.055555556,0.18750001,0.0080064051
0.18333331,0.113274306,0.038461544,0.055555556,0.026315788,0.0120096077
0.5,0.17522122,0.038461532,0.057692304,0.44736838,0.0064051241
0.15000002,0.43362835,0.3269231,0.07692308,0.28947365,0.0096076861
0.1833333,0.43362832,0.3269231,0.6153846,0.02631579,0.0056044836
0.1833333,0.113274306,0.1153846,0.15384616,0.13157898,0.001601281
0.39999998,0.17522125,0.1692308,0.0689655,0.11111109,0.0064051241
0.050000004,0.43362832,0.38461536,0.125,0.026315793,0.0048038431
0.16176467,0.17522125,0.1235955,0.18421051,0.13207552,0.003202562
0.2794118,0.17522126,0.14606738,0.13157898,0.39622644,0.0072057646
0.05,0.11327432,0.11538459,0.055555552,0.1052632,0.0072057646
0.15000002,0.43362832,0.3269231,0.05769232,0.28947374,0.0088070456
0.49999997,0.113274306,0.115384586,0.09615384,0.105263196,0.0040032026
0.102941185,0.43362832,0.23595509,0.18421051,0.39622638,0.0048038431
0.1627907,0.17785232,0.15306121,0.14285709,0.31506845,0.0120096077
0.04545455,0.1778523,0.46753252,0.058823522,0.5217391,0.003202562
0.093023285,0.114094,0.15306121,0.2142857,0.1369863,0.0096076861
0.09090909,0.1778523,0.038961038,0.03921569,0.0869565,0.0064051241
0.18333331,0.1752212,0.3269231,0.09615384,0.105263196,0.0048038431
0.16176471,0.16991153,0.12359548,0.13157898,0.13207553,0.0136108887
0.050000004,0.107964605,0.038461544,0.07692308,0.1052632,0.0056044836
0.1833333,0.16991153,0.13461542,0.15384622,0.13157895,0.0056044836
0.116666704,0.10796461,0.11538459,0.6153845,0.44736832,0.0048038431
0.1451613,0.17522122,0.10112361,0.18421051,0.1509434,0.0040032026
0.17741929,0.43362835,0.39325842,0.18421051,0.3962264,0.0031446541
0.17741929,0.43362835,0.2359551,0.131579,0.20754722,0.001572327
0.18918918,0.17522123,0.16923079,0.1724138,0.1777778,0.0023584906
0.18918918,0.113274306,0.1846154,0.1724138,0.33333325,0
0.8646209,0.17785235,0.082601056,0.081081085,0.082324445,0.001572327
0.39393938,0.147651,0.117021285,0.13725488,0.30645162,0.001572327
0.22727267,0.442953,0.11702128,0.078431375,0.080645174,0.0031446541
0.21311477,0.17785233,0.15306118,0.25,0.31506842,0.0023584906
0.2142857,0.14056231,0.32727268,0.27499998,0.18181819,0.0023584906
0.19047621,0.1445783,0.15454549,0.24999999,0.07792209,0.0031446541
0.09677418,0.14056231,0.17307693,0.13793102,0.4086021,0.0055031447
0.18,0.188755,0.13636363,0.08695651,0.13084112,0.0023584906
0.21212122,0.14457828,0.05454545,0.275,0.07792209,0.0047169811
0.40000004,0.3895582,0.10576921,0.1034483,0.1827957,0.0086477987
0.031746034,0.1365462,0.13636361,0.06521739,0.04672897,0.0078616352
0.11111109,0.188755,0.04545455,0.06521738,0.046728965,0.0055031447
0.7777778,0.18875499,0.054545455,0.76086956,0.028037384,0.0031446541
0.15384617,0.188755,0.10576921,0.13793102,0.4086021,0.0070754717
0.047619045,0.38955823,0.045454554,0.06521739,0.1308411,0.0110062893
0.11111109,0.1445783,0.027272735,0.06521739,0.046728965,0.0094339623
0.7777778,0.1365462,0.027272737,0.76086956,0.74766356,0.0133647799
0.086956516,0.14910002,0.111111104,0.05555557,0.56250006,0.0322327044
0.6376812,0.14910002,0.16666673,0.6666666,0.04166667,0.0235849057
0.08695652,0.37018007,0.14814809,0.08333335,0.04166667,0.0149371069
0.6376812,0.3701801,0.5370371,0.18518521,0.125,0.0086477987
0.04347826,0.37018007,0.037037045,0.18518518,0.125,0.0110062893
0.6376812,0.20565554,0.11111109,0.6666666,0.12500001,0.0070754717
0.1449275,0.20565554,0.03703704,0.055555552,0.041666675,0.0086477987
0.6376812,0.14910002,0.111111104,0.1851852,0.5625,0.0102201258
0.043478258,0.13110542,0.1666667,0.055555556,0.5625,0.0031446541
0.13461538,0.37018004,0.1388889,0.14634149,0.076923065,0.0031446541
